"Function / Thread / Logical Core / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address","PID","TID"
"func@0x14084bc50","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14084bc50","[Unknown]","0x14084bc50","0","0"
"func@0x14084b753","0","0","2496000","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14084b753","[Unknown]","0x14084b753","0","0"
"func@0x14071d800","0.001","0","0","0","0","0","1","0","0","0","0","0","0","0","nvlddmkm.sys","func@0x14071d800","[Unknown]","0x14071d800","0","0"
"func@0x1406bac00","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1406bac00","[Unknown]","0x1406bac00","0","0"
"func@0x1406b8383","0","4992000","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1406b8383","[Unknown]","0x1406b8383","0","0"
"func@0x1406b40ae","0.001","7488000","9984000","0.75","0","0","1","0","0","0","0","0","0","7.488e+09","ntoskrnl.exe","func@0x1406b40ae","[Unknown]","0x1406b40ae","0","0"
"func@0x1406ad22f","0","4992000","0","","0","0","1","0","0","0","1","0","0","","ntoskrnl.exe","func@0x1406ad22f","[Unknown]","0x1406ad22f","0","0"
"func@0x1406acf00","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1406acf00","[Unknown]","0x1406acf00","0","0"
"func@0x1406ac113","0","2496000","0","","0","0","1","0","0","0","1","0","0","","ntoskrnl.exe","func@0x1406ac113","[Unknown]","0x1406ac113","0","0"
"func@0x1406a71b0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1406a71b0","[Unknown]","0x1406a71b0","0","0"
